Head to head statistics:

 1) Goldfish v2.0.0-rc7 2050.6 :    650 (+322,=216,-112),  66.2 %
    Goldfish v2.0.0-rc7        :     96 (  7,  26,  63),  20.8 :  -191.8
    Goldfish v1.13.0           :     70 ( 13,  23,  34),  35.0 :  -124.2
    Goldfish v2.0.0-rc6        :     80 ( 23,  37,  20),  51.9 :   -12.3
    Goldfish v2.0.0-rc3        :     70 ( 12,  45,  13),  49.3 :    -3.3

11) Goldfish v2.0.0-rc1 1837.3 :    436 (+94,=247,-95),  49.9 %

    vs.                        :  games (  +,   =,  -),   (%) :    Diff
    Goldfish v1.13.0           :     78 (  9,  25, 44),  27.6 :  -145.7
    Goldfish v2.0.0-rc3        :     72 ( 10,  45, 17),  45.1 :   -24.8
    Goldfish v2.0.0-rc2        :    176 ( 36, 114, 26),  52.8 :    +2.3
    Goldfish v1.5.1            :    110 ( 39,  63,  8),  64.1 :  +110.6

12) Goldfish v2.0.0-rc2 1835.0 :    354 (+58,=166,-130),  39.8 %

    vs.                        :  games (  +,   =,   -),   (%) :    Diff
    Goldfish v1.13.0           :    178 ( 32,  52,  94),  32.6 :  -148.0
    Goldfish v2.0.0-rc1        :    176 ( 26, 114,  36),  47.2 :    -2.3

13) Goldfish v1.7.0     1814.3 :   2053 (+504,=1165,-384),  52.9 %

    vs.                        :  games (   +,    =,   -),   (%) :    Diff
    Goldfish v1.12.0           :     32 (   8,   10,  14),  40.6 :   -92.4
    Goldfish v1.11.1           :     32 (   6,   17,   9),  45.3 :   -79.2
    Goldfish v1.9.0            :    247 (  38,   98, 111),  35.2 :   -64.5
    Goldfish v1.8.2            :    246 (  53,  160,  33),  54.1 :    +4.9
    Goldfish v1.7.1            :    250 (  44,  168,  38),  51.2 :    +7.1
    Goldfish v1.8.0            :    150 (  32,   84,  34),  49.3 :   +14.5
    Goldfish v1.8.1            :    500 ( 114,  305,  81),  53.3 :   +17.4
    Goldfish v1.6.0            :    192 (  56,  105,  31),  56.5 :   +29.9
    Goldfish v1.5.1            :    192 (  57,  117,  18),  60.2 :   +87.6
    Goldfish v1.5              :     10 (   4,    5,   1),  65.0 :   +89.9
    Goldfish v1.4              :     42 (  16,   23,   3),  65.5 :   +92.7
